Employee ID,Employee Name,Department,Role,Skill Set,Experience Level,Availability,Preferred Shift,Contract Type,Hourly Rate/Salary,Working Hours,Productivity Score
1,Ethan Miller,HR,Recruiter,"Onboarding, Recruitment, Employee relations",Senior,Part-time,Night,Contract,$94/hour,10,91.26
2,Olivia Johnson,Customer Service,Customer Support Specialist,"Phone support, Customer service",Junior,Weekends only,Day,Full-time,$36/hour,5,50.58
3,Noah Williams,Operations,Project Manager,"Process improvement, Logistics, Project management",Mid-level,Weekends only,Night,Freelance,$149/hour,10,82.78
4,Ava Brown,Engineering,QA Engineer,Python,Entry-level,Part-time,Day,Freelance,$107/hour,5,51.39
5,Liam Jones,Operations,Project Manager,Logistics,Junior,Part-time,Day,Full-time,$27/hour,10,86.86
6,Isabella Garcia,Operations,Operations Manager,Process improvement,Entry-level,Monday-Friday 9am-5pm,Night,Contract,$136/hour,5,64.82
7,Mason Rodriguez,Operations,Project Manager,"Logistics, Project management",Mid-level,Flexible,Day,Full-time,$43/hour,8,70.5
8,Sophia Wilson,Sales,Sales Manager,"Negotiation, Salesforce",Senior,Part-time,Night,Contract,$129/hour,8,80.94
9,William Martinez,Sales,Sales Representative,"Salesforce, Negotiation, Customer communication",Mid-level,Weekends only,Evening,Part-time,$53/hour,5,53.9
10,Mia Anderson,Finance,Financial Analyst,"Accounting, Financial modeling",Junior,Flexible,Evening,Freelance,$67/hour,5,56.62
11,James Taylor,Operations,Project Manager,"Logistics, Project management, Process improvement",Mid-level,Monday-Friday 9am-5pm,Day,Part-time,$40/hour,10,91.56
12,Evelyn Thomas,Operations,Project Manager,"Logistics, Project management",Entry-level,Flexible,Day,Freelance,$71/hour,5,74.05
13,Benjamin Moore,Customer Service,Customer Service Agent,"Phone support, Email etiquette, Customer service",Senior,Weekends only,Day,Freelance,$144/hour,8,86.46
14,Abigail Jackson,Sales,Account Executive,"Customer communication, Salesforce",Junior,Flexible,Day,Contract,$62/hour,8,71.58
15,Elijah White,HR,HR Generalist,Onboarding,Junior,Monday-Friday 9am-5pm,Night,Full-time,$32/hour,8,87.09
16,Emily Harris,Sales,Sales Manager,Salesforce,Mid-level,Part-time,Evening,Freelance,$137/hour,10,84.49
17,Lucas Martin,Finance,Financial Analyst,Accounting,Junior,Weekends only,Night,Part-time,$39/hour,10,85.4
18,Harper Thompson,Sales,Sales Representative,Negotiation,Senior,Part-time,Day,Contract,$96/hour,5,66.37
19,Alexander Garcia,Customer Service,Customer Service Agent,"Phone support, Email etiquette, Customer service",Entry-level,Weekends only,Night,Freelance,$75/hour,10,81.88
20,Avery Davis,Customer Service,Customer Support Specialist,Customer service,Junior,Weekends only,Evening,Part-time,$31/hour,5,50.64
21,Michael Rodriguez,Customer Service,Customer Service Agent,Customer service,Mid-level,Flexible,Evening,Part-time,$56/hour,10,90.95
